Player,AGE,POS,TEAM,DATE,TYPE,STRUCTURE,LENGTH,VALUE,CAP HIT
Fedor Tyutin,23,LD,NYR,2006-08-02,Standard,1-way,2,1975000,987500
Daniel Briere,28,C,BUF,2006-08-03,Standard,1-way,1,5000000,5000000
Brad Boyes,24,"RW, C",BOS,2006-08-04,Standard,1-way,2,3000000,1500000
Marc-André Fleury,21,G,PIT,2006-08-05,Standard,1-way,2,2598500,1294750
Milan Jurcina,23,D,BOS,2006-08-07,Standard,1-way,1,500000,500000
Christian Backman,26,LD,STL,2006-08-09,Standard,1-way,3,6900000,2300000
Kevin Bieksa,25,RD,VAN,2006-08-17,Standard,1-way,2,1050000,525000
Patrice Bergeron,21,C,BOS,2006-08-22,Standard,1-way,5,23750000,4750000
Johan Franzen,26,"RW, LW",DET,2006-08-25,Standard,1-way,3,2825000,941667
Jean-Pierre Dumont,28,RW,NSH,2006-08-29,Standard,1-way,2,4500000,2250000
Trevor Daley,22,RD,DAL,2006-08-31,Standard,1-way,2,1575000,787500
Ilya Bryzgalov,26,G,ANA,2006-09-06,Standard,1-way,2,2362500,1181250
Kari Lehtonen,22,G,ATL,2006-09-07,Standard,1-way,2,3700000,1850000
Ryan Miller,26,G,BUF,2006-09-08,Standard,1-way,3,8000000,2666667
Simon Gagne,26,RW,PHI,2006-09-11,Standard,1-way,5,26250000,5250000
Joffrey Lupul,22,"LW, RW",EDM,2006-09-12,Standard,1-way,3,6935000,2311667
Rick DiPietro,24,G,NYI,2006-09-12,Standard,1-way,15,67500000,4500000
Matt Stajan,22,C,TOR,2006-09-13,Standard,1-way,2,1750000,875000
Ryan Kesler,21,"C, RW",VAN,2006-09-14,Standard,1-way,1,1900000,1900000
Tim Gleason,23,D,LAK,2006-09-17,Standard,1-way,2,2350000,1175000
Dustin Brown,21,"RW, LW",LAK,2006-09-17,Standard,1-way,2,2350000,1175000
Dan Hamhuis,23,LD,NSH,2006-09-21,Standard,1-way,4,8000000,2000000
Nikolai Zherdev,21,LW,CBJ,2006-09-28,Standard,1-way,3,7500000,2500000
Brian Gionta,27,RW,NJD,2006-10-03,Standard,1-way,3,12000000,4000000
Paul Martin,25,LD,NJD,2006-10-03,Standard,1-way,1,2000000,2000000
Tuomo Ruutu,23,"LW, RW",CHI,2006-10-13,Standard,1-way,2,3750000,1875000
Ryan Craig,25,C,TBL,2007-08-06,Standard,1-way,1,850000,850000
Mike Cammalleri,25,"LW, C",LAK,2007-08-07,Standard,1-way,2,6700000,3350000
Mike Weaver,29,D,PIT,2007-08-08,Standard,2-way,1,600000,600000
Andy Sutton,32,D,NYI,2007-08-10,Standard,1-way,3,9000000,3000000
James Wisniewski,23,RD,CHI,2007-08-10,Standard,1-way,1,650000,650000
Pierre-Alexandre Parenteau,24,RW,CHI,2007-08-13,Standard,2-way,1,550000,550000
Paul Martin,26,LD,NJD,2007-08-16,Standard,1-way,3,11500000,3833333
Stephen Weiss,24,C,FLA,2007-08-23,Standard,1-way,6,18600000,3100000
John Erskine,27,D,WSH,2007-08-27,Standard,1-way,2,1075000,537500
Keith Ballard,24,D,ARI,2007-08-29,Standard,1-way,2,4550000,2275000
Jussi Jokinen,24,"LW, RW",DAL,2007-08-30,Standard,1-way,2,3625000,1812500
Noah Welch,25,LD,FLA,2007-09-12,Standard,1-way,2,1300000,650000
Adam Hall,27,RW,PIT,2007-10-01,Standard,2-way,1,525000,525000
David Tanabe,26,D,CAR,2007-10-06,Standard,1-way,2,1500000,750000
Sandis Ozolinsh,34,D,SJS,2007-11-01,Standard,1-way,1,625000,625000
Kyle Quincey,23,RD,DET,2008-09-09,Standard,1-way,2,1050000,525000
Brad Richardson,23,C,LAK,2008-09-15,Standard,1-way,2,1175000,587500
Drew Miller,24,"LW, RW",ANA,2008-09-19,Standard,2-way,2,1050000,525000
Teemu Selanne,38,RW,ANA,2008-09-28,35+,1-way,2,5250000,2625000
Patrick O'Sullivan,23,LW,LAK,2008-10-07,Standard,1-way,3,8775000,2925000
Alexei Semenov,27,LD,SJS,2008-10-08,Standard,1-way,1,650000,650000
Chris Chelios,46,D,DET,2008-10-09,35+,1-way,1,750000,750000
Brooks Orpik,28,LD,PIT,2008-10-10,Standard,1-way,6,22500000,3750000
Jassen Cullimore,35,LD,FLA,2008-10-28,35+,1-way,1,830000,830000
Mark Parrish,31,RW,DAL,2008-11-05,Standard,2-way,1,500000,500000
Mats Sundin,37,C,VAN,2008-12-18,35+,1-way,1,5626500,5626500
Maxime Talbot,24,"C, LW",PIT,2008-12-19,Standard,1-way,2,1350000,675000
Manny Malhotra,29,C,SJS,2009-09-23,Standard,1-way,1,700000,700000
Rob Niedermayer,34,"C, RW",NJD,2009-09-25,Standard,1-way,1,1000000,1000000
Darryl Sydor,37,LD,STL,2009-09-25,35+,1-way,1,1000000,1000000
Ryan Hollweg,26,LW,ARI,2009-09-28,Standard,2-way,1,500000,500000
Andrew Peters,29,LW,NJD,2009-09-29,Standard,1-way,2,1000000,500000
Dylan Reese,25,RD,CBJ,2009-09-29,Standard,2-way,1,525000,525000
Robert Lang,38,C,ARI,2009-09-29,35+,1-way,1,1700000,1000000
Martin Skoula,29,D,PIT,2009-09-29,Standard,1-way,1,575000,575000
David Liffiton,24,D,CBJ,2009-09-29,Standard,2-way,1,525000,525000
Francis Bouillon,33,LD,NSH,2009-09-30,Standard,1-way,1,750000,750000
Andy Hilbert,28,C,MIN,2009-09-30,Standard,2-way,1,650000,650000
Torrey Mitchell,24,"C, RW",SJS,2009-10-02,Standard,1-way,3,4100000,1366667
Dominic Moore,29,"C, LW",FLA,2009-10-04,Standard,1-way,1,1100000,1100000
Marc-Andre Bergeron,28,D,MTL,2009-10-06,Standard,1-way,1,750000,750000
Dave Scatchard,33,C,NSH,2009-10-07,Standard,2-way,1,550000,550000
Victor Oreskovich,23,RW,FLA,2009-10-09,Standard,2-way,2,1150000,575000
Matt Pettinger,29,LW,VAN,2009-11-02,Standard,2-way,1,500000,500000
Dean McAmmond,36,LW,NJD,2009-11-06,35+,2-way,1,500000,500000
Anders Eriksson,34,D,ARI,2009-12-21,Standard,2-way,1,600000,600000
Matt Niskanen,23,RD,DAL,2010-09-16,Standard,1-way,2,3000000,1500000
Patrick O'Sullivan,25,LW,CAR,2010-09-17,Standard,1-way,1,600000,600000
Matt Hendricks,29,"RW, C, LW",WSH,2010-09-27,Standard,2-way,1,575000,575000
Chris Stewart,22,"RW, LW",COL,2010-10-02,Standard,1-way,2,5750000,2875000
Peter Schaefer,32,LW,VAN,2010-10-07,Standard,2-way,1,600000,600000
Brian McGrattan,29,RW,BOS,2010-10-11,Standard,2-way,1,515000,515000
Andreas Lilja,34,LD,ANA,2010-10-11,Standard,1-way,1,600000,600000
Paul Mara,31,D,ANA,2010-10-16,Standard,1-way,1,750000,750000
Mark Parrish,33,RW,BUF,2010-11-06,Standard,2-way,1,600000,600000
Marek Svatos,28,RW,STL,2010-12-28,Standard,2-way,1,800000,800000
Chris Campoli,27,LD,MTL,2011-09-26,Standard,1-way,1,1750000,1750000
Trent Hunter,30,RW,LAK,2011-09-30,Standard,1-way,1,600000,600000
Drew Doughty,21,RD,LAK,2011-09-30,Standard,1-way,8,56000000,7000000
Brad Winchester,30,LW,SJS,2011-10-03,Standard,1-way,1,725000,725000
Fabian Brunnstrom,26,LW,DET,2011-10-03,Standard,2-way,1,600000,600000
Ray Emery,28,G,CHI,2011-10-03,Standard,1-way,1,600000,600000
Jay Pandolfo,36,LW,NYI,2011-10-04,35+,1-way,1,1400000,600000
Troy Bodie,26,RW,ANA,2011-10-12,Standard,2-way,1,550000,550000
Anton Strålman,25,RD,NYR,2011-11-04,Standard,1-way,1,900000,900000
Kyle Turris,21,C,ARI,2011-11-22,Standard,1-way,2,2800000,1400000
Joe Finley,24,D,BUF,2011-11-28,Standard,2-way,3,1600000,533333
Jeremy Colliton,26,C,NYI,2011-11-30,Standard,2-way,1,500000,500000
Antti Miettinen,31,RW,TBL,2011-12-12,Standard,2-way,2,2702585,1300000
Pierre-Cédric Labrie,25,LW,TBL,2011-12-30,Standard,2-way,2,1050000,525000
Eddie Läck,24,G,VAN,2012-08-27,Standard,2-way,2,1500000,750000
Robert Bortuzzo,23,RD,PIT,2012-08-30,Standard,2-way,1,525000,525000
Alex Grant,23,RD,PIT,2012-08-30,Standard,2-way,1,525000,525000
Eric Tangradi,23,LW,PIT,2012-08-31,Standard,2-way,1,726000,726000
Steve Eminger,28,D,NYR,2012-09-10,Standard,1-way,1,750000,750000
