Season,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SUT,GPS,MIN,QS,RBS,G,A,PTS,PIM,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2013,Frederik Andersen,24,ANA,28,24,20,5,0,60,783,723,0.923,2.29,0,5.6,1569,12,0,0,1,1,0,4,0,4,100.0
2013,Craig Anderson,32,OTT,53,52,25,16,8,150,1680,1530,0.911,3,4,9.5,3000,26,10,0,1,1,2,15,5,10,66.7
2013,Richard Bachman,26,EDM,3,3,0,2,1,7,83,76,0.916,3.03,0,0.5,139,1,2,0,0,0,0,3,2,1,33.3
2013,Niklas Backstrom,35,MIN,21,19,5,11,2,55,546,491,0.899,3.02,0,2.3,1094,9,3,0,0,0,0,6,3,3,50.0
2013,Jonathan Bernier,25,TOR,55,49,26,19,7,139,1788,1649,0.922,2.7,1,12.6,3084,30,5,0,1,1,4,25,9,16,64.0
2013,Reto Berra,27,TOT,31,29,9,18,3,88,820,732,0.893,3.07,0,2.9,1720,14,7,0,0,0,2,21,5,16,76.2
2013,Reto Berra,27,CGY,29,27,9,17,2,81,788,707,0.897,2.95,0,3.2,1648,14,5,0,0,0,2,21,5,16,76.2
2013,Reto Berra,27,COL,2,2,0,1,1,7,32,25,0.781,5.85,0,-0.3,72,0,2,0,0,0,0,21,5,16,76.2
2013,Ben Bishop,27,TBL,63,63,37,14,7,133,1758,1625,0.924,2.23,5,12.9,3586,38,8,0,2,2,4,52,13,39,75.0
2013,Sergei Bobrovsky,25,CBJ,58,57,32,20,5,131,1699,1568,0.923,2.38,5,12.1,3299,35,5,0,1,1,2,15,4,11,73.3
2013,Ilya Bryzgalov,33,TOT,32,30,12,9,8,81,891,810,0.909,2.68,4,4.9,1814,16,4,0,0,0,0,11,5,6,54.5
2013,Ilya Bryzgalov,33,EDM,20,19,5,8,5,57,622,565,0.908,3.01,1,3.4,1135,10,2,0,0,0,0,11,5,6,54.5
2013,Ilya Bryzgalov,33,MIN,12,11,7,1,3,24,269,245,0.911,2.12,3,1.5,679,6,2,0,0,0,0,11,5,6,54.5
2013,Peter Budaj,31,MTL,24,21,10,8,3,56,615,559,0.909,2.51,1,3.4,1338,9,3,0,0,0,6,17,4,13,76.5
2013,Scott Clemmensen,36,FLA,17,14,6,7,1,47,454,407,0.896,3.08,0,1.8,914,6,3,0,1,1,0,13,6,7,53.8
2013,Corey Crawford,29,CHI,59,56,32,16,10,128,1533,1405,0.917,2.26,2,9.8,3395,31,6,0,1,1,0,41,13,28,68.3
2013,Devan Dubnyk,27,TOT,34,31,11,18,3,103,945,842,0.891,3.43,2,3.1,1802,11,8,0,0,0,6,7,3,4,57.1
2013,Devan Dubnyk,27,EDM,32,29,11,17,2,94,885,791,0.894,3.36,2,3.2,1678,11,7,0,0,0,6,7,3,4,57.1
2013,Devan Dubnyk,27,NSH,2,2,0,1,1,9,60,51,0.85,4.36,0,-0.1,124,0,1,0,0,0,0,7,3,4,57.1
2013,Brian Elliott,28,STL,31,25,18,6,2,53,681,628,0.922,1.96,4,4.8,1624,15,2,0,2,2,0,20,6,14,70.0
2013,Dan Ellis,33,TOT,20,16,5,11,0,62,514,452,0.879,3.62,1,1,1027,4,6,0,1,1,0,3,0,3,100.0
2013,Dan Ellis,33,DAL,14,11,5,6,0,35,349,314,0.9,3.04,1,1.5,690,4,2,0,1,1,0,3,0,3,100.0
2013,Dan Ellis,33,FLA,6,5,0,5,0,27,165,138,0.836,4.8,0,-0.5,337,0,4,0,0,0,0,3,0,3,100.0
2013,Ray Emery,31,PHI,28,21,9,12,2,69,711,642,0.903,2.96,2,3.4,1398,11,2,0,0,0,31,7,5,2,28.6
2013,Jhonas Enroth,25,BUF,28,26,4,17,5,74,834,760,0.911,2.82,0,4.8,1574,14,3,0,0,0,0,3,1,2,66.7
2013,Viktor Fasth,31,TOT,12,12,5,5,2,33,340,307,0.903,2.83,0,1.6,701,5,2,0,0,0,0,10,5,5,50.0
2013,Viktor Fasth,31,EDM,7,7,3,3,1,18,209,191,0.914,2.73,0,1.3,396,4,1,0,0,0,0,10,5,5,50.0
2013,Viktor Fasth,31,ANA,5,5,2,2,1,15,131,116,0.885,2.95,0,0.3,305,1,1,0,0,0,0,10,5,5,50.0
2013,Marc-Andre Fleury,29,PIT,64,64,39,18,5,150,1774,1624,0.915,2.37,5,11.1,3792,33,11,0,0,0,4,28,5,23,82.1
2013,Thomas Greiss,28,PHX,25,20,10,8,5,50,626,576,0.92,2.29,2,4.3,1312,12,2,0,0,0,0,14,2,12,85.7
2013,Philipp Grubauer,22,WSH,17,14,6,5,5,35,469,434,0.925,2.38,0,3.5,883,9,2,0,0,0,0,29,10,19,65.5
2013,Jonas Gustavsson,29,DET,27,26,16,5,4,68,735,667,0.907,2.63,0,3.9,1551,13,6,0,0,0,0,22,6,16,72.7
2013,Jaroslav Halak,28,TOT,52,50,29,13,7,110,1385,1275,0.921,2.25,5,9.5,2939,30,6,0,1,1,0,29,11,18,62.1
2013,Jaroslav Halak,28,STL,40,38,24,9,4,83,1002,919,0.917,2.23,4,6.5,2238,22,6,0,1,1,0,29,11,18,62.1
2013,Jaroslav Halak,28,WSH,12,12,5,4,3,27,383,356,0.93,2.31,1,3,701,8,0,0,0,0,0,29,11,18,62.1
2013,Josh Harding,29,MIN,29,26,18,7,3,46,690,644,0.933,1.66,3,5.8,1668,21,3,0,0,0,0,18,6,12,66.7
2013,Cal Heeter,25,PHI,1,1,0,0,1,5,38,33,0.868,4.69,0,0,64,0,0,0,0,0,0,2,1,1,50.0
2013,Jonas Hiller,31,ANA,50,50,29,13,7,120,1348,1228,0.911,2.48,5,7.7,2909,27,11,0,2,2,0,36,13,23,63.9
2013,Braden Holtby,24,WSH,48,45,23,15,4,126,1475,1349,0.915,2.85,4,9,2656,26,7,0,2,2,7,28,9,19,67.9
2013,Jimmy Howard,29,DET,51,50,21,19,11,133,1482,1349,0.91,2.66,2,8.3,3004,25,7,0,0,0,6,26,8,18,69.2
2013,Michael Hutchinson,23,WPG,3,3,2,1,0,5,88,83,0.943,1.64,0,0.8,183,3,0,0,0,0,0,3,0,3,100.0
2013,Carter Hutton,28,NSH,40,34,20,11,4,91,1006,915,0.91,2.62,1,5.6,2085,15,8,0,1,1,2,19,5,14,73.7
2013,Chad Johnson,27,BOS,27,23,17,4,3,53,708,655,0.925,2.1,2,5.2,1511,15,2,0,0,0,0,2,1,1,50.0
2013,Martin Jones,24,LAK,19,18,12,6,0,33,500,467,0.934,1.81,4,4.2,1095,13,1,0,1,1,0,12,0,12,100.0
2013,Anton Khudobin,27,CAR,36,34,19,14,1,80,1076,996,0.926,2.3,1,8,2084,22,2,0,0,0,0,3,0,3,100.0
2013,Connor Knapp,23,BUF,2,1,0,0,1,4,32,28,0.875,3.14,0,0,77,0,0,0,1,1,0,2,1,1,50.0
2013,Darcy Kuemper,23,MIN,26,25,12,8,4,60,702,642,0.915,2.43,2,4.3,1480,12,4,0,0,0,0,19,6,13,68.4
2013,Jason LaBarbera,34,EDM,7,4,1,3,0,19,146,127,0.87,3.27,0,0.1,348,0,3,0,0,0,0,2,0,2,100.0
2013,Eddie Lack,26,VAN,41,37,16,17,5,93,1052,959,0.912,2.41,4,6.1,2319,20,5,0,0,0,0,25,4,21,84.0
2013,Robin Lehner,22,OTT,36,30,12,15,6,99,1141,1042,0.913,3.06,1,6.8,1942,19,5,0,0,0,4,30,10,20,66.7
2013,Kari Lehtonen,30,DAL,65,64,33,20,10,153,1888,1735,0.919,2.41,5,12.6,3804,36,10,0,4,4,4,31,8,23,74.2
2013,Nathan Lieuwen,22,BUF,7,5,1,4,0,18,191,173,0.906,2.97,0,1,363,2,0,0,0,0,0,9,2,7,77.8
2013,Anders Lindback,25,TBL,23,18,8,12,2,63,580,517,0.891,2.9,1,1.9,1302,6,3,0,0,0,2,7,1,6,85.7
2013,Henrik Lundqvist,31,NYR,63,62,33,24,5,144,1810,1666,0.92,2.36,5,12.4,3655,36,9,0,4,4,0,23,8,15,65.2
2013,Roberto Luongo,34,TOT,56,56,25,23,7,129,1589,1460,0.919,2.4,4,10.6,3222,29,4,0,0,0,2,28,8,20,71.4
2013,Roberto Luongo,34,VAN,42,42,19,16,6,96,1157,1061,0.917,2.38,3,7.4,2418,22,4,0,0,0,0,28,8,20,71.4
2013,Roberto Luongo,34,FLA,14,14,6,7,1,33,432,399,0.924,2.46,1,3.1,804,7,0,0,0,0,2,28,8,20,71.4
