Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2012,Justin Abdelkader,25,DET,LW,48,10,3,13,6,34,1.7,10,0,0,0,3,0,0,96,10.4,711,14:49:00,13,120,65,60,52,614,479,56.2,3.8,451,353,56.1,3.6,7.3,93.7,101,52.2,47.8,14:49:00,13:38:00,10,10,147,65.3,0,0,0,0.0
2012,Luke Adam,22,BUF,LW,4,1,0,1,1,2,0.2,1,0,0,0,0,0,0,2,50,39,09:48:00,2,3,1,0,100,22,45,32.8,-14.1,15,32,31.9,-13.7,18.2,96.4,114.6,25,75,09:48:00,09:25:00,0,0,5,40,0,0,0,0.0
2012,Craig Adams,35,PIT,RW,48,3,6,9,-1,28,0.2,2,0,1,0,6,0,0,46,6.5,536,11:10:00,37,107,51,47,52,277,381,42.1,-8.8,219,252,46.5,-5,6.8,93,99.8,41.3,58.7,11:10:00,08:28:00,5,7,71,64.8,0,0,0,0.0
2012,Jason Akeson,22,PHI,C,1,1,0,1,2,0,0.3,1,0,0,0,0,0,0,2,50,12,12:23:00,0,0,0,0,,13,14,48.1,,9,13,40.9,,25,100,125,50,50,12:23:00,12:23:00,2,0,3,66.7,0,0,0,0.0
2012,Andrew Alberts,31,VAN,D,24,0,1,1,-7,32,-0.1,0,0,0,0,1,0,0,15,0,364,15:11:00,31,39,0,0,,251,283,47,-7.8,184,212,46.5,-7.9,4.4,92,96.4,42.3,57.7,15:11:00,13:49:00,5,7,40,37.5,0,0,0,0.0
2012,Daniel Alfredsson,40,OTT,RW,47,10,16,26,1,33,2.7,7,3,0,2,7,8,1,101,9.9,909,19:21:00,30,28,16,22,42.1,775,629,55.2,2.2,554,474,53.9,1.2,6.7,92.4,99.1,54.9,45.1,19:21:00,14:37:00,37,36,202,50,7,1,6,14.3
2012,Akim Aliu,23,CGY,RW,5,0,0,0,-2,14,-0.2,0,0,0,0,0,0,0,2,0,54,10:52:00,2,5,0,0,,34,57,37.4,-9.6,23,39,37.1,-11.3,0,93.8,93.8,34.5,65.5,10:52:00,10:11:00,1,2,5,40,0,0,0,0.0
2012,Bryan Allen,32,ANA,D,41,0,6,6,1,34,1.3,0,0,0,0,6,0,0,25,0,768,18:44:00,66,63,0,0,,557,664,45.6,-4.5,396,486,44.9,-7.3,8.4,92.9,101.3,49,51,18:44:00,16:37:00,4,22,90,27.8,0,0,0,0.0
2012,Karl Alzner,24,WSH,D,48,1,4,5,-6,14,0.7,1,0,0,0,4,0,0,39,2.6,1006,20:57:00,85,45,0,0,,773,814,48.7,-0.4,561,594,48.6,0,7.3,91.8,99.2,45.9,54.1,20:57:00,18:17:00,10,23,98,39.8,0,0,0,0.0
2012,Matt Anderson,30,NJD,RW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,,12,05:47:00,1,0,0,0,,12,11,52.2,-4,10,7,58.8,3,12.5,100,112.5,100,0,05:47:00,05:44:00,0,0,2,0,0,0,0,0.0
