Season,Player,Age_x,Tm,Pos_x,GP_x,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
2015,Justin Abdelkader,28,DET,LW,82,19,23,42,-16,120,3.8,13,6,0,4,16,7,0,155,12.3,1512,18:26:00,44,207,5,9,35.7,986,995,49.8,-2.9,735,782,48.5,-2.7,7.8,90.5,98.3,58.7,41.3,18:26:00,13:53:00,23,29,-3,239,64.9,0,0,0,0.0
2015,Noel Acciari,24,BOS,C,19,0,1,1,-4,8,-0.4,0,0,0,0,1,0,0,18,0,188,09:54:00,4,52,60,76,44.1,138,136,50.4,-3,108,95,53.2,0.5,4.4,88.4,92.9,61,39,09:54:00,08:31:00,1,4,2.2,28,64.3,0,0,0,0.0
2015,Kenny Agostino,23,CGY,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,3,0,27,13:33:00,0,3,0,0,,23,19,54.8,9.7,17,16,51.5,7.8,0,84.6,84.6,31.3,68.8,13:33:00,12:12:00,2,5,0.2,3,100,0,0,0,0.0
2015,Andrew Agozzino,25,COL,LW,9,0,2,2,-1,0,0.1,0,0,0,0,1,1,0,3,0,77,08:34:00,4,8,24,21,53.3,59,73,44.7,1,40,48,45.5,2.7,3.3,94.1,97.5,45.9,54.1,08:34:00,08:19:00,0,1,-0.5,11,27.3,0,0,0,0.0
2015,Karl Alzner,27,WSH,D,82,4,17,21,14,26,5.4,4,0,0,1,17,0,0,75,5.3,1753,21:23:00,207,135,0,0,,1330,1397,48.8,-3.1,991,991,50,-1.8,8.1,93.5,101.6,41.9,58.1,21:23:00,18:28:00,24,41,0.5,185,40.5,0,0,0,0.0
2015,Josh Anderson,21,CBJ,RW,12,1,3,4,0,2,0.3,1,0,0,0,3,0,0,11,9.1,128,10:42:00,4,40,0,0,,95,125,43.2,-3.5,70,96,42.2,-5.4,9.6,92.5,102.2,37.5,62.5,10:42:00,10:37:00,4,1,-2.8,22,50,0,0,0,0.0
2015,Joakim Andersson,26,DET,C,29,1,2,3,1,6,0.1,1,0,0,0,2,0,0,17,5.9,262,09:01:00,5,14,32,38,45.7,160,170,48.5,-2.7,125,135,48.1,-1.2,6.1,96,102.1,46.6,53.4,09:01:00,07:09:00,1,0,-0.6,30,56.7,0,0,0,0.0
2015,Andy Andreoff,24,LAK,LW,60,8,2,10,1,76,1.2,8,0,0,1,2,0,0,46,17.4,528,08:48:00,11,82,134,134,50,479,474,50.3,-6.6,356,361,49.7,-6.8,6.3,94.9,101.2,58.5,41.5,08:48:00,08:39:00,12,12,-5.2,89,51.7,0,0,0,0.0
2015,Sven Andrighetto,22,MTL,RW,44,7,10,17,1,6,1.7,6,1,0,0,9,1,0,74,9.5,621,14:07:00,17,71,3,4,42.9,561,497,53,3,418,357,53.9,4,8.4,92,100.4,64.1,35.9,14:06:00,12:43:00,9,13,0.5,131,56.5,4,2,2,50.0
2015,Mike Angelidis,30,TBL,LW,4,1,0,1,2,5,0.3,1,0,0,1,0,0,0,1,100,36,09:00:00,1,6,10,21,32.3,27,24,52.9,-5.1,16,17,48.5,-5.5,16.7,100,116.7,41.2,58.8,09:00:00,08:31:00,1,1,-0.1,6,16.7,0,0,0,0.0
