,Player,Season,Age,Tm,Pos,GP,G,A,PTS,PlusMinus,PIM,PS,EV_A,PP_A,SH_A,GW,EV_A,PP_A,SH_A,S,S_Pct,TOI,ATOI,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TOI/60,TOI(EV),TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct
0,Justin Abdelkader,2019,32,DET,LW,49,0,3,3,-14,25,-0.9,0,0,0,0,3,0,0,40,0.0,565,11:32:00,26,103,38,31,55.1,348,439,44.2,-1.9,267,316,45.8,0.0,3.2,91.3,94.6,43.3,56.7,11:32:00,09:48:00,10,18,76,52.6,0.0,0.0,0.0,0.0
1,Pontus Aberg,2019,26,TOR,LW,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,4,0.0,44,08:42:00,1,1,0,0,0.0,31,50,38.3,-18.2,19,40,32.2,-22.4,9.1,96.2,105.2,60.0,40.0,08:42:00,08:42:00,1,2,5,80.0,0.0,0.0,0.0,0.0
2,Vitaly Abramov,2019,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,05:47:00,0,0,0,0,0.0,11,17,39.3,-14.7,9,12,42.9,-11.8,16.7,87.5,104.2,33.3,66.7,05:47:00,05:47:00,0,1,4,75.0,0.0,0.0,0.0,0.0
3,Noel Acciari,2019,28,FLA,C,66,20,7,27,2,21,2.9,19,0,1,5,7,0,0,108,18.5,1054,15:58:00,103,121,381,414,47.9,790,894,46.9,-3.5,590,639,48.0,-2.5,10.1,90.6,100.7,38.6,61.4,15:57:00,13:08:00,32,21,189,57.1,0.0,0.0,0.0,0.0
4,Andrew Agozzino,2019,29,TOT,LW,22,1,2,3,3,4,0.3,1,0,0,0,2,0,0,10,10.0,162,07:21:00,7,25,38,37,50.7,127,104,55.0,8.0,92,77,54.4,7.4,11.7,93.5,105.2,53.4,46.6,07:21:00,06:49:00,5,4,18,55.6,0.0,0.0,0.0,0.0
5,Sebastian Aho,2019,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,19:25:00,20,55,409,480,46.0,1093,830,56.8,3.8,827,664,55.5,2.8,10.3,88.1,98.4,58.5,41.5,19:25:00,14:40:00,71,58,333,61.9,1.0,0.0,1.0,0.0
6,Karl Alzner,2019,31,MTL,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,4,0.0,56,13:55:00,4,1,0,0,0.0,41,31,56.9,0.4,26,23,53.1,-1.8,5.6,88.2,93.8,55.6,44.4,13:55:00,13:11:00,0,1,6,66.7,0.0,0.0,0.0,0.0
7,Michael Amadio,2019,23,LAK,C,68,6,10,16,-11,10,0.5,6,0,0,0,7,3,0,99,6.1,885,13:01:00,22,21,233,249,48.3,801,664,54.7,1.8,607,514,54.1,1.6,6.6,89.4,96.0,50.2,49.8,13:01:00,11:24:00,31,25,164,60.4,2.0,0.0,2.0,0.0
8,Joey Anderson,2019,21,NJD,RW,18,4,2,6,1,2,0.7,4,0,0,0,2,0,0,21,19.0,238,13:13:00,6,16,3,3,50.0,148,215,40.8,-0.9,115,154,42.8,0.6,9.8,92.5,102.3,39.2,60.8,13:13:00,11:08:00,4,7,39,53.8,0.0,0.0,0.0,0.0
9,Josh Anderson,2019,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,16:04:00,13,68,7,12,36.8,297,330,47.4,-2.7,230,238,49.1,-3.7,6.5,89.2,95.7,53.6,46.4,16:04:00,12:25:00,9,12,98,64.3,0.0,0.0,0.0,0.0
