,Player,POS,AAV
0,Wayne Simmonds,"RW, LW",900000
1,Ryan Nugent-Hopkins,"C, LW",5125000
2,Trent Frederic,"C, LW",1050000
3,Blake Lizotte,C,800000
4,Matt Nieto,"LW, RW",850000
5,Blake Comeau,"LW, RW",1000000
6,Kevin Stenlund,"RW, C",1050000
7,Jason Spezza,"C, RW",750000
8,Nathan Bastian,"RW, C",825000
9,Devin Shore,"LW, C, RW",850000
10,Artem Zub,RD,2500000
11,Alexander Barabanov,"RW, LW",1000000
12,Ryan Lindgren,LD,3000000
13,Riley Stillman,LD,1350000
14,Ryan Hartman,"C, RW",1700000
15,Ilya Lyubushkin,RD,1350000
16,Adam Lowry,C,3250000
17,Conor Sheary,"LW, RW",1500000
18,Scott Laughton,"LW, C",3000000
19,Alex Iafallo,"LW, C",4000000
20,Nikita Gusev,"RW, LW",1000000
21,Tanner Pearson,LW,3250000
22,Mason Marchment,"LW, RW",800000
23,Thatcher Demko,G,5000000
24,Matt Roy,RD,3150000
25,Trevor van Riemsdyk,RD,950000
26,Jordan Binnington,G,6000000
27,Jack Roslovic,"RW, C",1838362
28,Ben Hutton,LD,950000
29,Cory Schneider,G,700000
30,Trevor Lewis,RW,750000
31,Craig Anderson,G,700000
32,Marcus Foligno,"LW, RW",3100000
33,Travis Hamonic,RD,1250000
34,Andy Greene,LD/RD,700000
35,Matt Martin,"LW, RW",1500000
36,Mike Hoffman,"RW, LW",4000000
37,Jesper Bratt,"LW, RW",2750000
38,Mathew Barzal,C,7000000
39,Riley Sheahan,"LW, C",700000
40,Sami Vatanen,LD/RD,2000000
41,Anthony Stolarz,G,950000
42,Luke Kunin,"RW, C",2300000
43,Oliver Bjorkstrand,"RW, LW",5400000
44,Dylan Strome,"C, LW",3000000
45,John Marino,RD,4400000
46,Vince Dunn,LD/RD,1875000
47,Pierre-Luc Dubois,C,5000000
48,Zdeno Chara,LD,795000
49,Derick Brassard,"LW, C",1000000
50,Ethan Bear,RD,2000000
51,Andreas Athanasiou,"C, LW, RW",1200000
52,Corey Perry,RW,750000
53,Carl Soderberg,"C, LW",1000000
54,Slater Koekkoek,LD/RD,850000
55,Anthony Cirelli,C,4800000
56,Mathieu Joseph,"C, LW, RW",737500
57,Ryan Miller,G,1000000
58,Erik Haula,"C, LW",1750000
59,Mikael Granlund,"C, RW",3750000
60,Michael Frolik,"LW, RW",750000
61,Alexander Volkov,"LW, RW",700000
62,Mackenzie Blackwood,G,2800000
63,Conor Sheary,"LW, RW",735000
64,Erik Cernak,RD,2950000
65,Jan Rutta,RD,1300000
66,Drake Caggiula,"LW, RW",700000
67,Anthony Duclair,"LW, RW",1700000
68,Philippe Myers,RD,2550000
69,Mikhail Sergachev,LD/RD,4800000
70,Jake DeBrusk,LW,3675000
71,Roope Hintz,"C, LW",3150000
72,MacKenzie Weegar,LD/RD,3250000
73,Brendan Lemieux,"LW, RW",1550000
74,Vladislav Gavrikov,LD,2800000
75,Ryan Strome,"C, RW",4500000
76,Ryan Pulock,RD,5000000
77,Anthony Mantha,"RW, LW",5700000
78,Dominik Kahun,"LW, RW, C",975000
79,Warren Foegele,"LW, RW",2150000
80,Victor Olofsson,"LW, RW",3050000
81,Patrick Maroon,"LW, RW",900000
82,Sami Niku,RD,725000
83,Luke Schenn,RD,800000
84,Alex Galchenyuk,"LW, C, RW",1050000
85,Jansen Harkins,"LW, C",725000
86,Haydn Fleury,LD/RD,1300000
87,Tyler Bertuzzi,"LW, RW",3500000
88,Devon Toews,LD,4100000
89,Chris Tierney,C,3500000
90,Linus Ullmark,G,2600000
91,Sam Reinhart,"C, RW",5200000
92,Josh Leivo,"RW, LW",875000
93,Travis Dermott,LD/RD,874125
94,Dominik Simon,"RW, LW",700000
95,Jake Virtanen,"RW, LW",2550000
96,Dmitry Kulikov,LD,1150000
97,Denis Gurianov,"RW, LW",2550000
98,Connor Brown,"LW, RW",3600000
99,Kris Russell,LD/RD,1250000
100,Jonas Siegenthaler,LD,800000
101,Ilya Mikheyev,"LW, RW",1645000
102,Adam Gaudette,C,950000
103,Christian Fischer,"RW, LW",1000000
104,Joakim Nordstrom,"LW, RW",700000
105,Tyson Jost,"C, LW, RW",874125
106,Cody Ceci,RD,1250000
107,Matt Grzelcyk,LD,3687500
108,Joe Thornton,"C, LW",700000
109,Nolan Patrick,"C, RW",874125
110,Andrew Mangiapane,"LW, RW",2425000
111,Anthony Deangelo,RD,4800000
112,Evgeni Dadonov,"RW, LW",5000000
113,Alexandar Georgiev,G,2425000
114,Brendan Gallagher,RW,6500000
115,Nicholas Paul,"C, LW",1350000
116,Jakub Zboril,LD,725000
117,Jake Allen,G,2875000
118,Aaron Dell,G,800000
119,Patrick Marleau,"LW, C",700000
120,Matt Nieto,"LW, RW",700000
121,Lucas Wallmark,C,950000
122,Alex Pietrangelo,RD,8800000
123,Brad Richardson,C,1000000
124,Tyler Toffoli,"LW, RW",4250000
125,Erik Gustafsson,LD/RD,3000000
126,Ryan Graves,LD,3166667
127,Mattias Janmark,"LW, C",2250000
128,Jimmy Vesey,"LW, RW",900000
129,Taylor Hall,LW,8000000
130,Radek Faksa,C,3250000
131,Derek Forbort,LD,1000000
132,Kyle Clifford,LW,1000000
133,Vladislav Namestnikov,"RW, LW, C",2000000
134,Nikita Zadorov,LD/RD,3200000
135,Zach Bogosian,RD,1000000
136,Jesper Fast,RW,2000000
137,Jordan Greenway,"LW, RW",2100000
138,Travis Boyd,"C, RW",700000
139,Tyson Barrie,RD,3750000
140,Mike Smith,G,1500000
141,Tomas Jurco,"RW, LW",700000
142,Trevor van Riemsdyk,RD,800000
143,Mikko Koivu,C,1500000
144,Valeri Nichushkin,"LW, RW",2500000
145,Brandon Montour,LD/RD,3850000
146,Cody Eakin,C,2250000
147,Johan Larsson,"C, LW",1400000
148,Nate Thompson,C,750000
149,Troy Stecher,RD,1700000
150,Thomas Greiss,G,3600000
151,Mark Pysyk,"RD, RW",750000
152,Andre Burakovsky,"LW, RW",4900000
153,Craig Smith,"RW, C",3100000
154,Kevin Labanc,"RW, LW",4725000
155,Andy Welinski,RD,750000
156,Braden Holtby,G,4300000
157,John Hayden,"C, RW",750000
158,Mark Jankowski,"LW, C",700000
159,Ryan Lomberg,"LW, C",725000
160,Victor Mete,LD/RD,735000
161,Corey Crawford,G,3900000
162,Luca Sbisa,LD,800000
163,Anton Forsberg,G,700000
164,Evan Rodrigues,"RW, C",700000
165,Nathan Beaulieu,LD/RD,1250000
166,Kevan Miller,RD,1250000
167,Wayne Simmonds,"RW, LW",1500000
168,TJ Brodie,RD,5000000
169,Torey Krug,LD,6500000
170,Nick Cousins,"LW, C",1500000
171,Alexander Wennberg,C,2250000
172,Vinnie Hinostroza,"RW, C",1000000
173,Matt Irwin,LD/RD,700000
174,Kevin Shattenkirk,RD,3900000
175,Tyler Motte,"LW, RW",1225000
176,Tomas Nosek,"C, LW",1250000
177,Carter Verhaeghe,"C, LW",1000000
178,Christopher Tanev,RD,4500000
179,Derek Grant,"C, RW",1500000
180,Tobias Rieder,"RW, LW",700000
181,Jack Johnson,LD,1150000
182,Justin Schultz,RD,4000000
183,Alan Quine,C,750000
184,Stefan Noesen,"RW, LW",925000
185,Kevin Rooney,"RW, C",750000
186,Keith Kinkaid,G,825000
187,Jacob Markstrom,G,6000000
188,Tyler Pitlick,RW,1750000
189,Anton Khudobin,G,3333333
190,Matthew Benning,RD,1000000
191,Buddy Robinson,RW,700000
192,Mason Appleton,"RW, C",900000
193,Kyle Turris,C,1650000
194,Cam Talbot,G,3666667
195,Bobby Ryan,"RW, LW",1000000
196,Radko Gudas,RD,2500000
197,Mark Borowiecki,LD,2000000
198,Tyler Ennis,"C, LW, RW",1000000
199,Matt Murray,G,6250000
200,Henrik Lundqvist,G,1500000
201,Malcolm Subban,G,850000
202,Zemgus Girgensons,"C, LW",2200000
203,Josh Anderson,RW,5500000
204,Sam Lafferty,"C, LW",750000
205,Adam Erne,"LW, RW",997500
206,Max Domi,"C, LW",5300000
207,Jesse Puljujarvi,RW,1175000
208,Chandler Stephenson,"LW, C",2750000
209,Mitchell Stephens,C,737500
210,Dylan DeMelo,RD,3000000
211,Brenden Dillon,LD,3900000
212,Zack MacEwen,"C, RW",825000
213,Jason Spezza,"C, RW",700000
214,Ilya Lyubushkin,RD,1000000
215,Kyle Capobianco,LD,775000
216,Tage Thompson,RW,1400000
217,Justin Braun,RD,1800000
218,Carson Soucy,LD,2750000
219,Nico Sturm,C,725000
220,Andrej Sekera,LD/RD,1500000
221,Brian Elliott,G,1500000
222,Tristan Jarry,G,3500000
223,Robin Lehner,G,5000000
224,Laurent Brossoit,G,1500000
225,Denis Malgin,"RW, C",700000
226,Robert Hagg,LD,1600000
227,Sam Gagner,"C, RW",850000
228,Jeff Petry,RD,6250000
229,Yakov Trenin,"LW, C",725000
230,Curtis Lazar,"C, RW",800000
231,Jared McCann,"LW, C",2940000
232,Daniel Sprong,RW,725000
233,Nicolas Aube-Kubel,RW,1075000
234,Joel Edmundson,LD,3500000
235,Jonas Brodin,LD,6000000
236,Adin Hill,G,800000
