,Player,Season,AGE,GP,G,A,PTS,PPG,PlusMinus,ATOI,TOI(EV),PIM,PS,EV_A,PP_A,SH_A,GW,S,S_Pct,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,LENGTH,AAV
10,Artem Zub,2021,25.0,47.0,3.0,11.0,14.0,0.2978723404255319,4.0,18.383333333333333,15.702777777777778,26.0,2.8,3.0,0.0,0.0,1.0,39.0,7.7,70.0,89.0,0.0,0.0,0.0,651.0,677.0,49.0,1.0,496.0,502.0,49.7,1.9,12.1,89.5,101.6,36.9,63.1,8.0,36.0,141.83333333333331,45.9,0.0,0.0,0.0,0.0,2,2500000.0
12,Ryan Lindgren,2021,23.0,38.66666666666666,0.6666666666666666,9.333333333333334,10.0,0.2586206896551725,10.0,17.05,14.1,30.0,2.266666666666667,0.6666666666666666,0.0,0.0,0.0,40.0,1.2,43.0,67.66666666666667,0.0,0.0,0.0,499.3333333333333,533.3333333333334,46.26666666666667,2.0666666666666664,374.6666666666667,396.0,46.8,1.2333333333333334,8.966666666666667,88.03333333333335,96.93333333333334,56.06666666666666,43.93333333333334,15.666666666666666,17.333333333333332,50.5,63.46666666666667,0.0,0.0,0.0,0.0,3,3000000.0
13,Riley Stillman,2021,23.0,18.666666666666668,0.3333333333333333,1.6666666666666667,2.0,0.10714285714285714,0.6666666666666666,15.283333333333331,14.008333333333333,10.666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,23.0,1.1333333333333333,28.666666666666668,38.333333333333336,0.0,0.0,0.0,255.0,281.6666666666667,56.4,9.433333333333334,191.0,210.0,53.03333333333333,6.666666666666667,10.833333333333334,83.76666666666667,94.6,40.03333333333333,59.96666666666667,6.0,15.0,42.5,49.9,0.0,0.0,0.0,0.0,3,1350000.0
15,Ilya Lyubushkin,2021,27.0,44.66666666666666,0.3333333333333333,3.0,3.333333333333333,0.0746268656716418,-6.0,14.53888888888889,13.608333333333334,13.666666666666666,0.8000000000000002,0.3333333333333333,0.0,0.0,0.0,34.666666666666664,0.9333333333333332,62.0,134.66666666666666,0.0,0.0,0.0,554.3333333333334,606.6666666666666,47.6,-1.4666666666666668,416.6666666666667,451.3333333333333,47.9,-1.4333333333333331,6.533333333333334,92.26666666666668,98.83333333333331,48.63333333333333,51.36666666666667,9.0,18.33333333333333,77.0,45.93333333333334,0.0,0.0,0.0,0.0,1,1350000.0
24,Matt Roy,2021,26.0,46.333333333333336,2.6666666666666665,8.666666666666666,11.333333333333334,0.2446043165467626,5.0,18.166666666666668,16.058333333333334,8.666666666666666,3.0,2.6666666666666665,0.0,0.0,0.3333333333333333,67.66666666666667,4.333333333333333,71.33333333333333,77.0,0.0,0.0,0.0,725.6666666666666,701.3333333333334,48.86666666666667,-1.0,548.6666666666666,529.3333333333334,48.833333333333336,-0.3333333333333332,9.7,91.6,101.33333333333331,48.46666666666667,51.53333333333333,5.0,28.33333333333333,159.0,43.333333333333336,0.0,0.0,0.0,0.0,3,3150000.0
25,Trevor van Riemsdyk,2021,29.0,49.0,1.6666666666666667,6.666666666666667,8.333333333333334,0.17006802721088438,-4.0,15.672222222222222,13.733333333333333,7.333333333333333,1.4,1.6666666666666667,0.0,0.0,0.3333333333333333,61.0,2.9666666666666663,49.333333333333336,25.33333333333333,0.0,0.0,0.0,680.6666666666666,586.3333333333334,53.23333333333333,-0.4666666666666666,507.0,445.0,52.73333333333333,-0.7333333333333334,6.633333333333333,91.56666666666666,98.16666666666669,51.76666666666667,48.23333333333333,14.333333333333334,19.666666666666668,158.5,49.4,0.0,0.0,0.0,0.0,2,950000.0
28,Ben Hutton,2021,27.0,57.333333333333336,3.333333333333333,10.333333333333334,13.666666666666666,0.2383720930232558,-10.333333333333334,19.694444444444443,17.43333333333333,22.666666666666668,2.3666666666666667,3.0,0.3333333333333333,0.0,0.6666666666666666,94.0,3.266666666666667,72.33333333333333,50.0,0.0,0.0,0.0,936.6666666666666,943.3333333333334,49.5,-1.2,700.0,720.6666666666666,49.06666666666666,-1.5333333333333332,6.8,91.1,97.86666666666667,44.96666666666667,55.03333333333333,15.666666666666666,31.0,239.5,49.7,0.0,0.0,0.0,0.0,1,950000.0
33,Travis Hamonic,2021,29.0,52.333333333333336,4.333333333333333,9.333333333333334,13.666666666666666,0.2611464968152866,5.0,20.477777777777774,17.741666666666667,33.0,3.033333333333333,4.0,0.0,0.3333333333333333,0.3333333333333333,96.66666666666669,4.3,119.33333333333331,43.66666666666666,0.0,0.6666666666666666,0.0,917.0,913.0,49.1,-1.4666666666666666,679.0,684.0,48.86666666666667,-1.1333333333333333,9.0,91.3,100.3,49.16666666666666,50.833333333333336,22.666666666666668,39.0,227.0,48.833333333333336,0.0,0.0,0.0,0.0,1,1250000.0
34,Andy Greene,2021,37.0,66.66666666666667,2.6666666666666665,12.0,14.666666666666666,0.21999999999999997,0.3333333333333333,19.322222222222223,16.158333333333335,12.666666666666666,3.5,2.6666666666666665,0.0,0.0,0.0,71.33333333333333,3.3666666666666667,154.0,46.0,0.0,0.0,0.0,896.6666666666666,1084.0,45.4,-3.1,689.3333333333334,795.3333333333334,46.53333333333333,-2.5,8.133333333333333,92.23333333333332,100.36666666666667,45.333333333333336,54.66666666666666,20.666666666666668,35.0,165.5,46.2,0.0,0.0,0.0,0.0,1,700000.0
40,Sami Vatanen,2021,29.0,45.333333333333336,3.6666666666666665,11.666666666666666,15.333333333333334,0.3382352941176471,-8.666666666666666,20.166666666666668,16.791666666666668,21.33333333333333,2.333333333333333,2.333333333333333,1.3333333333333333,0.0,0.0,85.66666666666667,4.2,68.66666666666667,48.333333333333336,0.0,0.0,0.0,671.3333333333334,698.0,49.36666666666667,-0.1333333333333333,509.0,530.3333333333334,49.3,-0.4333333333333333,8.366666666666667,90.0,98.36666666666667,49.2,50.8,12.666666666666666,27.0,202.0,51.3,0.0,0.0,0.0,0.0,1,2000000.0
