,Player,Season,AGE,GP,PTS,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,LENGTH,AAV
23,Thatcher Demko,2021,25.0,23.666666666666668,0.3333333333333333,8.333333333333334,1.3333333333333333,7.0,83.33333333333333,22.666666666666668,11.0,10.333333333333334,1.3333333333333333,67.33333333333333,758.0,690.6666666666666,0.911,2.9066666666666667,0.3333333333333333,4.566666666666666,1383.3333333333333,13.333333333333334,3.333333333333333,5,5000000.0
26,Jordan Binnington,2021,27.0,41.333333333333336,0.6666666666666666,12.0,3.333333333333333,8.666666666666666,73.63333333333334,40.333333333333336,24.0,10.666666666666666,5.333333333333333,97.66666666666669,1145.6666666666667,1048.0,0.9163333333333332,2.3666666666666667,2.6666666666666665,7.233333333333333,2424.0,23.0,3.6666666666666665,6,6000000.0
29,Cory Schneider,2021,34.0,26.0,0.0,9.0,5.0,4.0,44.4,23.0,6.0,13.0,4.0,70.0,718.0,648.0,0.903,3.06,1.0,3.4,1372.0,10.0,5.0,1,700000.0
31,Craig Anderson,2021,39.0,50.0,2.0,2.0,2.0,0.0,0.0,47.0,17.0,27.0,4.0,163.0,1676.0,1513.0,0.903,3.51,2.0,8.1,2785.0,19.0,8.0,1,700000.0
41,Anthony Stolarz,2021,27.0,13.0,0.5,4.5,1.5,3.0,75.0,9.5,4.0,4.0,1.5,33.5,366.5,333.0,0.9135,2.825,1.0,2.05,666.5,5.0,1.5,2,950000.0
57,Ryan Miller,2020,39.0,23.666666666666668,0.3333333333333333,8.666666666666666,3.0,5.666666666666667,43.96666666666667,19.0,9.666666666666666,6.333333333333333,4.0,56.0,667.3333333333334,611.3333333333334,0.9156666666666666,2.736666666666667,1.6666666666666667,4.1000000000000005,1233.3333333333333,11.333333333333334,2.333333333333333,1,1000000.0
62,Mackenzie Blackwood,2020,23.0,35.0,0.5,24.0,6.5,17.5,76.6,32.0,16.0,12.0,4.0,89.5,1060.5,971.0,0.9165,2.69,2.5,6.65,1974.0,18.0,5.0,3,2800000.0
90,Linus Ullmark,2020,26.0,35.5,0.5,9.5,1.0,8.5,89.45,34.0,16.0,14.0,4.0,100.0,1106.0,1006.0,0.91,2.9,1.5,6.199999999999999,2064.5,18.5,4.0,1,2600000.0
113,Alexandar Georgiev,2020,24.0,33.5,1.5,11.0,3.5,7.5,82.5,31.0,15.5,13.5,3.0,93.5,1060.0,966.5,0.912,2.975,2.0,6.15,1883.0,16.0,4.0,2,2425000.0
117,Jake Allen,2020,30.0,43.0,0.3333333333333333,6.333333333333333,2.6666666666666665,3.6666666666666665,68.06666666666666,40.66666666666666,19.33333333333333,16.0,4.666666666666667,107.0,1182.0,1075.0,0.9126666666666666,2.5766666666666667,2.0,6.433333333333334,2408.0,22.0,7.0,2,2875000.0
118,Aaron Dell,2020,31.0,29.0,0.3333333333333333,3.6666666666666665,1.0,2.6666666666666665,75.56666666666666,24.0,12.333333333333334,9.333333333333334,3.6666666666666665,76.33333333333333,791.3333333333334,715.0,0.9023333333333332,2.94,1.3333333333333333,3.8666666666666663,1559.6666666666667,10.666666666666666,5.0,1,800000.0
